,Mag,Place,Time,Type
0,4.2,"45km SW of Pijijiapan, Mexico",1505956304,earthquake
1,2.26,"4km SW of Imperial, CA",1505947525,earthquake
2,1.0,"7km NW of La Mesa, CA",1505937649,quarry blast
3,2.71,"19km W of Delta, B.C., MX",1505931747,earthquake
4,0.94,"27km SSW of Ocotillo Wells, CA",1505922423,earthquake
5,4.1,"46km SSW of Salina Cruz, Mexico",1505918247,earthquake
6,2.21,"7km N of Delta, B.C., MX",1505911740,earthquake
7,3.9,"53km SSE of San Francisco del Mar, Mexico",1505911495,earthquake
8,4.7,"53km SSW of Pijijiapan, Mexico",1505903968,earthquake
9,4.0,"21km SSE of Salina Cruz, Mexico",1505882957,earthquake
10,4.5,"68km SSE of Salina Cruz, Mexico",1505880947,earthquake
11,4.6,"19km SSE of Salina Cruz, Mexico",1505878082,earthquake
12,4.9,"4km ENE of Acatenango, Guatemala",1505875055,earthquake
13,4.6,"15km ENE of San Mateo del Mar, Mexico",1505862692,earthquake
14,5.0,"108km SSE of San Mateo del Mar, Mexico",1505855595,earthquake
15,4.4,"68km S of Salina Cruz, Mexico",1505846933,earthquake
16,7.1,"1km E of Ayutla, Mexico",1505844878,earthquake
17,1.76,"8km SSE of Brawley, CA",1505810653,earthquake
18,4.9,"104km SSW of Paredon, Mexico",1505807924,earthquake
19,5.5,"106km SSW of Paredon, Mexico",1505807595,earthquake
20,4.9,"63km S of San Francisco del Mar, Mexico",1505804581,earthquake
21,1.67,"8km SSE of Brawley, CA",1505797300,earthquake
22,4.3,"77km S of San Francisco del Mar, Mexico",1505794808,earthquake
23,1.69,"8km SSE of Brawley, CA",1505792016,earthquake
24,1.34,"9km SSE of Brawley, CA",1505791878,earthquake
25,1.85,"8km SSE of Brawley, CA",1505791676,earthquake
26,4.3,"102km S of San Francisco del Mar, Mexico",1505784203,earthquake
27,1.9,"9km SSE of Brawley, CA",1505779853,earthquake
28,1.73,"8km SSE of Brawley, CA",1505779842,earthquake
29,4.3,"116km SSE of San Mateo del Mar, Mexico",1505772810,earthquake
30,1.45,"4km WSW of Imperial, CA",1505769920,earthquake
31,1.71,"4km SW of Imperial, CA",1505769761,earthquake
32,2.17,"4km SW of Imperial, CA",1505769684,earthquake
33,4.9,"101km S of San Mateo del Mar, Mexico",1505764290,earthquake
34,4.1,"54km S of Salina Cruz, Mexico",1505764066,earthquake
35,3.51,"77km S of Maneadero, B.C., MX",1505759058,earthquake
36,4.3,"52km S of Salina Cruz, Mexico",1505756978,earthquake
37,4.2,"20km SE of San Mateo del Mar, Mexico",1505755544,earthquake
38,4.4,"139km SSW of Tres Picos, Mexico",1505750356,earthquake
39,4.0,"239km ENE of Socorro Island, Mexico",1505747673,earthquake
40,4.8,"119km S of San Francisco del Mar, Mexico",1505747637,earthquake
41,5.6,"108km S of San Francisco del Mar, Mexico",1505744352,earthquake
42,4.9,"17km S of Salina Cruz, Mexico",1505736415,earthquake
43,1.11,"4km WSW of Imperial, CA",1505716385,earthquake
44,4.0,"13km SSE of Jesus Carranza, Mexico",1505711689,earthquake
45,4.1,"122km SSW of Paredon, Mexico",1505700898,earthquake
46,4.2,"89km SSW of Paredon, Mexico",1505699407,earthquake
47,4.2,"117km SSW of Tres Picos, Mexico",1505698782,earthquake
48,4.0,"151km SSW of Paredon, Mexico",1505696468,earthquake
