,Ankunft,Flugnummer,Geplante Ankunft,Herkunft,Passagier/Cargo
0,Landed 04:59,FAT6262,05:15,COLOGNE/BONN,Cargo
1,Landed 05:10,QY4906,05:25,LEIPZIG,Cargo
2,Landed 07:37,SN2701LX4531,07:30,BRUSSELS,
3,Landed 07:32,LH1200,07:40,FRANKFURT,
4,Landed 07:35,U24631,07:50,BERLIN-SXF,
5,Landed 07:50,W64323,07:55,SOFIA,
6,Landed 08:01,4U9712LX3071,08:20,DÜSSELDORF,
7,Landed 08:14,U21026,08:25,HAMBURG,
8,Landed 09:01,LH2394,08:45,MUNICH,
9,Landed 08:48,XQ110,08:55,ANTALYA,
10,Landed 09:03,XQ912,09:10,IZMIR,
11,Landed 09:06,U21056,09:10,PALMA,
12,Landed 09:37,U21076,09:25,BARCELONA,
13,Landed 09:45,DS1030,09:25,BRUSSELS,
14,Landed 09:09,U21132,09:25,PORTO,
15,Landed 09:59,DS1042,09:35,AMSTERDAM,
16,Landed 09:28,AF7332A55332,09:35,PARIS-ORY,
17,Landed 09:39,DS1082,09:35,PISA,
18,Landed 09:22,KL1985KQ1985DL9317AF8373,09:45,AMSTERDAM,
19,Landed 09:43,FR7973,09:50,LONDON-STN,
20,Landed 09:50,DS1024,09:55,HAMBURG,
21,Landed 09:53,OS471LX3581,10:00,VIENNA,
22,Landed 10:02,DS4633,10:05,BERLIN-SXF,
23,Landed 10:31,AF1192MK9670KL2043DL8266,10:20,PARIS-CDG,
24,Landed 10:28,TK1923,10:25,ISTANBUL,
25,Landed 10:58,DS6918,10:40,EDINBURGH,
26,Landed 10:42,LH1202,10:40,FRANKFURT,
27,Landed 11:02,3O265,10:45,CASABLANCA,
28,Landed 10:35,DS8431,10:45,LONDON-LGW,
29,Landed 10:25,X32133,10:45,PALMA,
30,Landed 13:45,HG2815,10:50,PALMA,
31,Landed 11:04,BA752AA6366QF3544QR5935AB5074,11:10,LONDON-LHR,
32,Landed 11:42,W64293,11:10,TUZLA,
33,Landed 11:15,DS1086,11:15,ALICANTE,
34,Landed 12:24,ZI744,12:15,CONSTANTINE,
35,Landed 12:08,LH2396,12:15,MUNICH,
36,Landed 12:22,VY6240IB5204,12:30,BARCELONA,
37,Cancelled,U23363,12:35,VENICE,
38,Landed 13:30,DS1002,12:50,NICE,
39,Landed 13:12,SX5010,13:20,BERNE,
40,Landed 12:50,U22197,13:20,LONDON-LTN,
41,Landed 12:58,X34957,13:35,KOS,
42,Landed 13:40,LH1204,13:40,FRANKFURT,
43,Landed 13:56,KL1989DL9551,13:50,AMSTERDAM,
44,Landed 13:48,PC939,13:50,ISTANBUL-SAW,
45,Landed 13:59,U21124,13:50,NAPLES,
46,Landed 13:51,DS1062,13:50,ROME,
47,Landed 13:53,DS1102,13:55,BORDEAUX,
48,Landed 14:44,DS1234,14:00,BUDAPEST,
