,Antwort,Antwortdatum,Kategorie,Lat,Long,Meldedatum,Meldung,URL
0,"
Diese Reparatur wird von uns in den kommenden Wochen / Monaten ausgeführt. 
","07:59, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3740422372566,8.48422251756379,"15:16, 14. März 2013","<p>
Auf dem Asphalt des Bürgersteigs hat es eine Erhebung, die man wirklich nicht sieht und immer wieder drüber stolpert.</p>",https://www.zueriwieneu.ch/report/1
1,"
Diese Reparatur wird von uns in den kommenden Wochen / Monaten ausgeführt.
","08:00, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3951213067925,8.50818575502311,"15:17, 14. März 2013","<p>
Vermessungspunkt ist nicht mehr bündig mit dem Boden und steht vor.</p>",https://www.zueriwieneu.ch/report/2
2,"
Diese Reparatur wird von uns in den kommenden Wochen / Monaten ausgeführt.
Freundliche Grüsse
","08:08, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.4082636844855,8.55958795186456,"09:14, 15. März 2013","<p>
Beim Trottoir sind einige Randsteine defekt und der Belag ist abgesunken. Im Winter bleibt Wasser liegen.</p>",https://www.zueriwieneu.ch/report/4
3,"
Diese Reparatur wird von uns in den kommenden Wochen / Monaten ausgeführt.
","08:09, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.399131,8.521621,"09:17, 15. März 2013","<p>
Auf dem Parkplatz beim Waidspital sind einige Löcher im Belag</p>",https://www.zueriwieneu.ch/report/5
4,"
Dieses Graffiti wird von uns in den kommenden Wochen entfernt.
","13:50, 23. April 2013",In der Kategorie Abfall/Sammelstelle gemeldet,47.3754596384099,8.5388842981928,"10:36, 15. März 2013","<p>
Arbeitskiste ist rund herum verschmiert</p>",https://www.zueriwieneu.ch/report/6
5,"
Diese Reparatur wird von uns in den kommenden Wochen / Monaten ausgeführt.
","08:09, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3723512487449,8.54386701686147,"17:54, 16. März 2013","<p>
Gelockerte und fehlende Pflastersteine auf der Höhe Marktgasse 23.</p>",https://www.zueriwieneu.ch/report/7
6,"
Für diesen Bereich ist die Immobilienbewirtschaftung der Stadt Zürich zuständig. Wir haben Ihre Meldung weitergeleitet.
","17:29,  6. Mai 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3746474874248,8.54163732508628,"18:04, 16. März 2013","<p>
Steinerne Ballustrade bei der Uraniawache, Bahnhofquai, verschoben.</p>",https://www.zueriwieneu.ch/report/8
7,"
Diese Reparatur wird von uns in den kommenden Wochen / Monaten ausgeführt.
Freundliche Grüsse
","08:18, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3864118401087,8.48183573450449,"07:06, 18. März 2013","<p>
Feldblumenstrasse 30, Schlagloch</p>",https://www.zueriwieneu.ch/report/9
8,"
Diese Reparatur wird von uns in den kommenden Wochen / Monaten ausgeführt. Freundliche Grüsse
Stadt Zürich","08:19, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.384745,8.477957,"07:16, 18. März 2013","<p>
Rautistrasse / Friedhofstrasse: Schlagloch im Fussgägerstreifen</p>",https://www.zueriwieneu.ch/report/10
9,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:11, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.407757964686,8.53207138817367,"07:20, 20. März 2013","<p>
Neben dem Schacht sind ca. 2 m Wassersteine abgesunken.</p>",https://www.zueriwieneu.ch/report/11
10,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:19, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.4035457669784,8.53657257765024,"07:25, 20. März 2013","<p>
Deckel von Strassensammler ist abgesunken.</p>",https://www.zueriwieneu.ch/report/12
11,"
Dieser Schaden wird im Rahmen des  anstehenden Strassenbauprojekts Instandstellung der ewz Gräben behoben.
","10:15, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3990214617358,8.52229518019038,"10:49, 20. März 2013","<p>
Im Trottoir ist der Belag sehr schlecht.</p>",https://www.zueriwieneu.ch/report/13
12,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:23, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3617692073958,8.57407413160222,"08:38, 21. März 2013","<p>
Strassenbennungstafel ist krumm</p>",https://www.zueriwieneu.ch/report/14
13,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt. 
","08:24, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3615877640317,8.57756282770903,"08:49, 21. März 2013","<p>
3 Stück Löcher in der Fahrbahn von Nr. 17 bis Kehrplatz</p>",https://www.zueriwieneu.ch/report/15
14,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
Freundliche Grüsse
","08:25, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3543408935783,8.55779943570293,"09:06, 21. März 2013","<p>
Im Kreuzungsbereich zw. dem Tramgleis Deckbelag beschädigt inkl. beim KS</p>",https://www.zueriwieneu.ch/report/16
15,"
Die notwendigen Arbeiten werden im Rahmen des üblichen Unterhaltes ausgeführt.
","08:27, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.414378193471,8.55303141715506,"15:40, 22. März 2013","<p>
Rentner hat 2 Pfosten angefahren Einfahrt Parkhaus Messe Hagenholzstrasse</p>",https://www.zueriwieneu.ch/report/18
16,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","16:24, 24. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.4047554682938,8.55074725334432,"15:46, 22. März 2013","<p>
Verkehrsspiegel durch Vandalen geschlissen !</p>",https://www.zueriwieneu.ch/report/19
