,Company,Date,Price,Share Total,Type,Price_m
0,ABB Ltd,30.10.2017,362229.0,14323,Purchase,0.4
1,ABB Ltd,30.10.2017,304289.0,12032,Purchase,0.3
2,ABB Ltd,30.10.2017,10060.0,500,Purchase,0.0
3,ABB Ltd,30.10.2017,10060.0,500,Purchase,0.0
4,Banque Cantonale Vaudoise,27.10.2017,10620.0,15,Purchase,0.0
5,Hypothekarbank Lenzburg AG,27.10.2017,26700.0,6,Sale,0.0
6,Leonteq AG,27.10.2017,123500.0,2000,Purchase,0.1
7,ams AG,27.10.2017,3816075.0,2190000,Sale,3.8
8,ams AG,27.10.2017,5760000.0,160000,Purchase,5.8
9,nebag ag,27.10.2017,33518.0,3118,Sale,0.0
10,Leonteq AG,26.10.2017,4961000.0,82000,Purchase,5.0
11,Swissquote Group Holding Ltd,26.10.2017,4639.0,787,Sale,0.0
12,ams AG,26.10.2017,1069653.0,13543,Sale,1.1
13,Alpine Select AG,25.10.2017,53627.0,3290,Sale,0.1
14,Schindler Holding AG,25.10.2017,1113112.0,5000,Sale,1.1
15,ams AG,25.10.2017,1757500.0,950000,Sale,1.8
16,ams AG,25.10.2017,1440000.0,40000,Purchase,1.4
17,dormakaba Holding AG,25.10.2017,392000.0,400,Sale,0.4
18,ams AG,24.10.2017,2350600.0,1460000,Sale,2.4
19,nebag ag,24.10.2017,7875.0,743,Sale,0.0
20,Edisun Power Europe AG,23.10.2017,558.0,13,Purchase,0.0
21,GAM Holding AG,20.10.2017,63600.0,4000,Purchase,0.1
22,The Swatch Group AG,20.10.2017,149500.0,2000,Sale,0.1
23,The Swatch Group AG,18.10.2017,256040.0,3418,Sale,0.3
24,Jungfraubahn Holding AG,17.10.2017,39600.0,1200,Purchase,0.0
25,Kühne + Nagel International AG,17.10.2017,840000.0,5000,Purchase,0.8
26,Givaudan SA,16.10.2017,217800.0,100,Sale,0.2
27,Kuros Biosciences AG,16.10.2017,11734.0,868,Sale,0.0
28,RELIEF THERAPEUTICS Holding AG,16.10.2017,6220.0,622016,Sale,0.0
29,Givaudan SA,13.10.2017,411350.0,190,Sale,0.4
30,LEM Holding SA,13.10.2017,55099.0,40,Purchase,0.1
31,Banque Cantonale Vaudoise,12.10.2017,148720.0,208,Sale,0.1
32,Groupe Minoteries SA,12.10.2017,3697.0,10,Purchase,0.0
33,LEM Holding SA,12.10.2017,54660.0,40,Purchase,0.1
34,Alpine Select AG,11.10.2017,52712.0,3290,Purchase,0.1
35,Bossard Holding AG,11.10.2017,236180.0,1000,Sale,0.2
36,Edisun Power Europe AG,11.10.2017,461.0,11,Purchase,0.0
37,Kuros Biosciences AG,11.10.2017,816.0,60,Sale,0.0
38,nebag ag,11.10.2017,31206.0,2944,Sale,0.0
39,Investis Holding SA,10.10.2017,68528.0,1197,Purchase,0.1
40,Swissquote Group Holding Ltd,10.10.2017,7811.0,1203,Sale,0.0
41,Altin AG,09.10.2017,827.0,75,Purchase,0.0
42,Berner Kantonalbank,09.10.2017,37000.0,200,Sale,0.0
43,Jungfraubahn Holding AG,09.10.2017,24750.0,750,Purchase,0.0
44,Newron Pharmaceuticals S.p.A.,09.10.2017,71500.0,5000,Purchase,0.1
