,date,title,url
0,2008-03-31,Here is the latest development in the mysterious case of the xiri ta' voti,https://daphnecaruanagalizia.com/2008/03/monday-31-march-1630hrs/
1,2008-03-31,Maria l-Maws speaks out,https://daphnecaruanagalizia.com/2008/03/monday-31-march-1200hrs/
2,2008-03-31,Maria l-Maws can’t read the signs of the times,https://daphnecaruanagalizia.com/2008/03/monday-31-march-1130hrs/
3,2008-03-31,Here’s another one who thinks he’s charming and charismatic,https://daphnecaruanagalizia.com/2008/03/monday-31-march-1100hrs/
4,2008-03-31,The Pink Panther? How about the Pink Elephant?,https://daphnecaruanagalizia.com/2008/03/monday-31-march-1030hrs/
5,2008-03-31,"Without Joe Mizzi, we won’t find oil",https://daphnecaruanagalizia.com/2008/03/monday-31-march-1000hrs/
6,2008-03-30,"Yes, it is our business",https://daphnecaruanagalizia.com/2008/03/sunday-27-march-1230hrs/
7,2008-03-30,The anointed one,https://daphnecaruanagalizia.com/2008/03/sunday-30-march-1100hrs/
8,2008-03-29,"Dr Anthony J Licari, the Methuselah",https://daphnecaruanagalizia.com/2008/03/saturday-29-march-1800hrs/
9,2008-03-29,What the doctor of psycholinguistics thinks about Joseph and George,https://daphnecaruanagalizia.com/2008/03/saturday-29-march-1600hrs/
10,2008-03-29,Anthony Licari is not a sailor,https://daphnecaruanagalizia.com/2008/03/saturday-29-march-1545hrs/
11,2008-04-29,The mullahs from Malta,https://daphnecaruanagalizia.com/2008/04/the-mullahs-from-malta/
12,2008-04-29,Defending the indefensible,https://daphnecaruanagalizia.com/2008/04/defending-the-indefensible/
13,2008-04-29,They didn’t go all the way,https://daphnecaruanagalizia.com/2008/04/they-didn%e2%80%99t-go-all-the-way/
14,2008-04-29,Another dagger drawn,https://daphnecaruanagalizia.com/2008/04/another-dagger-drawn/
15,2008-04-28,The poodle must be thrilled,https://daphnecaruanagalizia.com/2008/04/the-poodle-must-be-thrilled/
16,2008-04-28,Some commonsense from Australia,https://daphnecaruanagalizia.com/2008/04/some-commonsense-from-australia/
17,2008-04-27,"A silent spring, at last",https://daphnecaruanagalizia.com/2008/04/a-silent-spring-at-last/
18,2008-04-24,A hunter is accosted by a rubber jolly and a man who is sexually attracted to continents,https://daphnecaruanagalizia.com/2008/04/a-hunter-is-accosted-by-a-rubber-jolly-and-a-man-who-is-sexually-attracted-to-continents/
19,2008-04-24,Don't you dare laugh at Lorna Vassallo,https://daphnecaruanagalizia.com/2008/04/dont-you-dare-laugh-at-lorna-vassallo/
20,2008-04-24,High on emotion,https://daphnecaruanagalizia.com/2008/04/high-on-emotion/
21,2008-04-23,One example of why convicted child molesters should be exposed,https://daphnecaruanagalizia.com/2008/04/one-example-of-why-convicted-child-molesters-should-be-exposed/
22,2008-05-31,"Oh, look – another irrevocable resignation",https://daphnecaruanagalizia.com/2008/05/oh-look-%e2%80%93-another-irrevocable-resignation/
23,2008-05-30,No posts today,https://daphnecaruanagalizia.com/2008/05/no-posts-today/
24,2008-05-29,"Oh, look – they still don’t understand free speech",https://daphnecaruanagalizia.com/2008/05/oh-look-%e2%80%93-they-still-don%e2%80%99t-understand-free-speech/
25,2008-05-29,PR for Prat,https://daphnecaruanagalizia.com/2008/05/pr-for-prat/
26,2008-05-27,Endorsement by a foreign politician is not the same as endorsement by a citizen of your own country,https://daphnecaruanagalizia.com/2008/05/endorsement-by-a-foreign-politician-is-not-the-same-as-endorsement-by-a-citizen-of-your-own-country/
27,2008-05-27,A finger in every party pie,https://daphnecaruanagalizia.com/2008/05/a-finger-in-every-party-pie/
28,2008-05-27,More paranoia from Lejber,https://daphnecaruanagalizia.com/2008/05/more-paranoia-from-lejber/
29,2008-05-27,Dak Evarist ukoll,https://daphnecaruanagalizia.com/2008/05/dak-evarist-ukoll/
30,2008-05-27,Prosy points (1),https://daphnecaruanagalizia.com/2008/05/prosy-points-1/
31,2008-05-27,Choice quotes from the Why We Lost report,https://daphnecaruanagalizia.com/2008/05/choice-quotes-from-the-why-we-lost-report/
32,2008-05-27,So that’s it!,https://daphnecaruanagalizia.com/2008/05/so-that%e2%80%99s-it/
33,2008-06-29,This week's notebook,https://daphnecaruanagalizia.com/2008/06/this-weeks-notebook/
34,2008-06-28,This is the link to the white paper on rent reform,https://daphnecaruanagalizia.com/2008/06/this-is-the-link-to-the-white-paper-on-rent-reform/
