,0
0,Sebastian Kurz
1,Freedom Party
2,Social Democrats
3,Sebastian Kurz
4,Christian Kern
5,Social Democrats
6,Christian Strache
7,Sebastian Kurz
8,Labour Party
9,Prime Minister
10,Nationalist Party
11,Rank Xerox
12,Kristy Debono
13,Hermann Schiavone
14,Nationalist Party
15,Nationalist Party
16,The Nationalist
17,European Union
18,Toni Bezzina
19,Nationalist Party
20,MP Robert
21,Edwin Vassallo
22,David Agius
23,Mr Agius
24,Toni Bezzina
25,Robert Arrigo
26,Nationalist Party
27,David Agius
28,Nationalist Party
29,Edwin Vassallo
30,Nationalist Party
31,Chris Said
32,Adrian Delia
33,Dr Said
34,Dr Said
35,Mr Vassallo
36,Dr Said
37,David Agius
38,Dr Said
39,Mr Agius
40,Dr Delia
41,Dr Said
42,Dr Delia
43,Dr Said
44,Mr Agius
45,Dr Delia
46,Nationalist Party
47,Robert Arrigo
48,Clyde Puli
49,When David
50,Chris Said
51,Mr Puli
52,Dr Delia
53,Edwin Vassallo
54,Dr Delia
55,Mr Agius
56,Robert Arrigo
57,Dr Delia
58,Nationalist Party
59,Evelyn Vella
60,Frank Portelli
61,David Agius
62,Mrs Vella
63,David Agius
64,Nationalist Party
65,Mr Agius
66,Partit Nazzjonalista
67,Partit Laburista
68,Nationalist Party
69,Labour Party
70,Nationalist Party
71,David Agius
72,Adrian Delia
73,Nationalist Party
74,The Malta
75,Mrs Delia
76,Rebecca Dimech
77,Mrs Delia
78,Miss Dimech
79,Rebecca Dimech
80,Mrs Delia
81,Miss Dimech
82,Miss Dimech
83,Andre Falzon
84,Mrs Delia
85,The Opposition
86,Miss Dimech
87,Adrian Delia
88,Massimo Dutti
89,Rebecca Dimech
90,Dr Nickie
91,Mrs Delia
92,Rebecca DimechRebecca
93,The Opposition
94,Rebecca Dimech
95,Mrs Adrian
96,Elisabetta Franchi
97,Bisazza Street
98,Dizz Group
99,Mrs Delia
100,Mrs Delia
101,HSBC Bank
102,Dr Delia
103,The Elisabetta
104,Bisazza Street
105,Mrs Delia
106,Nationalist Party
107,New Way
108,Nationalist Party
109,Louise Tedesco
110,Nationalist Party
111,The Great
112,Democratic Uzbekistani
113,Nationalist Party
114,Smashing Uzbekistan
115,Nationalist Party
116,Adrian Delia
117,Chief Justice
118,Massimo Dutti
119,The Point
120,Maltese Constitution
121,Massimo Dutti
122,Massimo Dutti
123,Massimo Dutti
124,Nationalist Party
125,Dr Delia
126,Nationalist Party
127,Dr Delia
128,Nationalist Party
129,Last Friday
130,Massimo Dutti
131,The Point
132,Chief Justice
133,Nationalist Party
134,Nationalist Party
135,Nationalist Party
136,Adrian Delia
137,Adrian Delia
138,Massimo Dutti
139,Chief Justice
140,Nationalist Party
141,Labour Party
142,Nationalist Party
143,Adrian Delia
144,Nationalist Party
145,Nationalist Party
146,Nationalist Party
147,Frank Portelli
148,Nationalist Party
149,Nationalist Party
150,Nationalist Party
151,Mrs Delia
152,Malta Today
153,Nationalist Party
154,Nationalist Party
155,Nationalist Party
156,Nationalist Party
157,European Parliament
158,Nationalist Party
159,Frank Portelli
160,Adrian Delia
161,Chief Justice
162,Sander Borg
163,Chief Justice
164,Independence Day
165,Mrs Delia
166,Mrs Muscat
167,So Excited
168,At The
169,First Rains
170,Wore My
171,Women In
172,Public Life
173,Adrian Delia
174,Chief Justice
175,The Malta
176,Prime Minister
177,Sunita Mukhi
178,An Opposition
179,An Opposition
180,Adrian Delia
181,Keith Schembri
182,Pasta Rummo
183,Pasta Rummo
184,Keith Schembri
185,Great Gay
186,Political War
187,Joseph Muscat
188,Labour Party
189,Labour Party
190,Gabi Calleja
191,Nationalist Party
192,Nationalist Party
193,CC Bill
194,Aequitas Management
195,Aequitas Legal
196,Georg Sapiano
197,Adrian Delia
198,Gabi Calleja
199,Joseph Muscat
200,Adrian Delia
201,Nationalist Party
202,Joseph Muscat
203,Keith Schembri
204,Christian Kalin
205,Last November
206,Prime Minister
207,New York
208,Finance Minister
209,Central Bank
210,Malta Financial
